======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 515      | Bucket B: 491      | 扫描次数 (A*B): 252,865     
  [Pairing] Bucket A: 499      | Bucket B: 491      | 扫描次数 (A*B): 245,009     
  [Pairing] Bucket A: 499      | Bucket B: 489      | 扫描次数 (A*B): 244,011     
  [Pairing] Bucket A: 475      | Bucket B: 489      | 扫描次数 (A*B): 232,275     
  [Pairing] Bucket A: 475      | Bucket B: 470      | 扫描次数 (A*B): 223,250     
  [Pairing] Bucket A: 503      | Bucket B: 470      | 扫描次数 (A*B): 236,410     
  [Pairing] Bucket A: 517      | Bucket B: 513      | 扫描次数 (A*B): 265,221     
  [Pairing] Bucket A: 497      | Bucket B: 513      | 扫描次数 (A*B): 254,961     
  [Pairing] Bucket A: 497      | Bucket B: 485      | 扫描次数 (A*B): 241,045     
  [Pairing] Bucket A: 487      | Bucket B: 485      | 扫描次数 (A*B): 236,195     
  [Pairing] Bucket A: 487      | Bucket B: 456      | 扫描次数 (A*B): 222,072     
  [Pairing] Bucket A: 519      | Bucket B: 456      | 扫描次数 (A*B): 236,664     
  [Pairing] Bucket A: 519      | Bucket B: 495      | 扫描次数 (A*B): 256,905     
  [Pairing] Bucket A: 481      | Bucket B: 495      | 扫描次数 (A*B): 238,095     
  [Pairing] Bucket A: 481      | Bucket B: 511      | 扫描次数 (A*B): 245,791     
  [Pairing] Bucket A: 528      | Bucket B: 511      | 扫描次数 (A*B): 269,808     
  [Pairing] Bucket A: 500      | Bucket B: 511      | 扫描次数 (A*B): 255,500     
  [Pairing] Bucket A: 500      | Bucket B: 518      | 扫描次数 (A*B): 259,000     
  [Pairing] Bucket A: 494      | Bucket B: 518      | 扫描次数 (A*B): 255,892     
  [Pairing] Bucket A: 494      | Bucket B: 505      | 扫描次数 (A*B): 249,470     
  [Pairing] Bucket A: 510      | Bucket B: 505      | 扫描次数 (A*B): 257,550     
  [Pairing] Bucket A: 510      | Bucket B: 513      | 扫描次数 (A*B): 261,630     
